x_m,y_m,vx_mps
-1.065728932037539423e+01,1.184953029554542514e+00,1.000000000000000000e+00
-1.057849269512295010e+01,1.177204181719274878e+00,1.000000000000000000e+00
-1.050354737180536091e+01,1.176454858117597757e+00,1.000000000000000000e+00
-1.035564649615582233e+01,1.179960144365870045e+00,1.000000000000000000e+00
-1.025000000000006750e+01,1.180000000000005489e+00,1.000000000000000000e+00
-1.010000000000006892e+01,1.180000000000005489e+00,1.000000000000000000e+00
-9.950000000000066791e+00,1.180000000000005489e+00,1.000000000000000000e+00
-9.850000000000065370e+00,1.180000000000005489e+00,1.000000000000000000e+00
-9.706587341846812933e+00,1.179945754981095662e+00,1.000000000000000000e+00
-9.596561213056629569e+00,1.184102865216147382e+00,1.000000000000000000e+00
-9.464127038466338959e+00,1.176668708762975912e+00,1.000000000000000000e+00
-9.346370953576762730e+00,1.162497201283381631e+00,1.000000000000000000e+00
-9.242854690259948214e+00,1.147118692891657021e+00,1.000000000000000000e+00
-9.153440816682715919e+00,1.134520881287672367e+00,1.000000000000000000e+00
-9.078492695122937661e+00,1.127204181719274834e+00,1.000000000000000000e+00
-9.004434116674907784e+00,1.126446010741875448e+00,1.000000000000000000e+00
-8.907057724661349596e+00,1.129937730806446661e+00,1.000000000000000000e+00
-8.800000000000057554e+00,1.130000000000005445e+00,1.000000000000000000e+00
-8.650000000000058975e+00,1.130000000000005445e+00,1.000000000000000000e+00
-8.550000000000055778e+00,1.130000000000005445e+00,1.000000000000000000e+00
-8.400000000000055422e+00,1.130000000000005445e+00,1.000000000000000000e+00
-8.300000000000054001e+00,1.130000000000005445e+00,1.000000000000000000e+00
-8.150000000000055422e+00,1.130000000000005445e+00,1.000000000000000000e+00
-8.000000000000053291e+00,1.130000000000005445e+00,1.000000000000000000e+00
-7.900000000000051870e+00,1.130000000000005445e+00,1.000000000000000000e+00
-7.807057724661340181e+00,1.129937730806446661e+00,1.000000000000000000e+00
-7.704434116674897304e+00,1.133504834271287232e+00,1.000000000000000000e+00
-7.578492695122927891e+00,1.131638570859546444e+00,1.000000000000000000e+00
-7.453440816682702419e+00,1.120041243278622645e+00,1.000000000000000000e+00
-7.342854690259935424e+00,1.104675253977629890e+00,1.000000000000000000e+00
-7.246370953576747098e+00,1.090280006713245653e+00,1.000000000000000000e+00
-7.164127038466321373e+00,1.080107622790124733e+00,1.000000000000000000e+00
-7.096561213056612694e+00,1.075867571098500175e+00,1.000000000000000000e+00
-7.008233549302933518e+00,1.079915251854541181e+00,1.000000000000000000e+00
-6.900000000000045652e+00,1.080000000000005400e+00,1.000000000000000000e+00
-6.800000000000044231e+00,1.080000000000005400e+00,1.000000000000000000e+00
-6.700000000000043698e+00,1.080000000000005400e+00,1.000000000000000000e+00
-6.600000000000043165e+00,1.080000000000005400e+00,1.000000000000000000e+00
-6.500000000000041744e+00,1.080000000000005400e+00,1.000000000000000000e+00
-6.400000000000041211e+00,1.080000000000005400e+00,1.000000000000000000e+00
-6.250000000000040856e+00,1.080000000000005400e+00,1.000000000000000000e+00
-6.157057724661330056e+00,1.079937730806446394e+00,1.000000000000000000e+00
-6.054434116674886290e+00,1.083504834271287187e+00,1.000000000000000000e+00
-5.928492695122916878e+00,1.081638570859546178e+00,1.000000000000000000e+00
-5.803440816682691406e+00,1.070041243278622156e+00,1.000000000000000000e+00
-5.692854690259923522e+00,1.054675253977629179e+00,1.000000000000000000e+00
-5.596370953576735197e+00,1.040280006713244720e+00,1.000000000000000000e+00
