x_m,y_m,vx_mps
9.647373975264164514e+00,1.122343432513980721e+00,1.336000056695479943e+00
9.661896019448258599e+00,1.253010219047540730e+00,1.670443830988757039e+00
9.669190285864951662e+00,1.381893907235840713e+00,1.927527733687199207e+00
9.661715272852088532e+00,1.470534320338030998e+00,1.570418300752819851e+00
9.670601335268781185e+00,1.526570329125761516e+00,1.864094690294655576e+00
9.689475791740093769e+00,1.619342473446117259e+00,2.120135414282170228e+00
9.710701840591649869e+00,1.741262973385767854e+00,2.096980483667919781e+00
9.719179856987235411e+00,1.876780461015476797e+00,2.198612891917070655e+00
9.714928504209467519e+00,1.986816681906498294e+00,2.415528617109933052e+00
9.715000000000024727e+00,2.080000000000006732e+00,2.493019355513090840e+00
9.714928504209467519e+00,2.186816681906498694e+00,2.148288971940903735e+00
9.710687487843918220e+00,2.288708992677061183e+00,1.736012023128286508e+00
9.704494374394586842e+00,2.322403610113894068e+00,1.736012023128286508e+00
9.717557302267623598e+00,2.345228442778881650e+00,1.574962974200423860e+00
9.759764829077871795e+00,2.421955322932062060e+00,1.901793105831473207e+00
9.828732517806281876e+00,2.544943219026090109e+00,1.694578263528381923e+00
9.883589158011201192e+00,2.705870595394121114e+00,1.605693177165647745e+00
9.902266686085573255e+00,2.838117325680505676e+00,1.893788626356222249e+00
9.917739474240281794e+00,2.963732537637518760e+00,1.759590258747159019e+00
9.914959777811436226e+00,3.085113003497040207e+00,2.024018994573911545e+00
9.915000000000027569e+00,3.180000000000009486e+00,2.257576773976023521e+00
9.915000000000027569e+00,3.280000000000010019e+00,2.469140111535996773e+00
9.915000000000027569e+00,3.380000000000010107e+00,2.663954370929801918e+00
9.915000000000027569e+00,3.480000000000010640e+00,2.845461806174175656e+00
9.915000000000027569e+00,3.580000000000010729e+00,3.016065796761735474e+00
9.915000000000027569e+00,3.680000000000011262e+00,3.177523074722826912e+00
9.915000000000027569e+00,3.830000000000011173e+00,3.405385865125420519e+00
9.915000000000027569e+00,3.930000000000011262e+00,3.549176367891007988e+00
9.915000000000027569e+00,4.030000000000011795e+00,3.687363948730313812e+00
9.915000000000027569e+00,4.130000000000012328e+00,3.820556620493408939e+00
9.915000000000027569e+00,4.230000000000012861e+00,3.949259790188032415e+00
9.915000000000027569e+00,4.380000000000012328e+00,4.134809897733632944e+00
9.915000000000027569e+00,4.480000000000012861e+00,4.254016089578884774e+00
9.915000000000027569e+00,4.580000000000013394e+00,4.369971726498471654e+00
9.915000000000027569e+00,4.680000000000013927e+00,4.385807384167906164e+00
9.915000000000027569e+00,4.780000000000014460e+00,4.199441202234139858e+00
9.915000000000027569e+00,4.930000000000014815e+00,3.903243063277217040e+00
9.915000000000027569e+00,5.030000000000015348e+00,3.692601577617290687e+00
9.915000000000027569e+00,5.130000000000015881e+00,3.469193913724295530e+00
9.915000000000027569e+00,5.230000000000016414e+00,3.230372487968173445e+00
9.915000000000027569e+00,5.380000000000015881e+00,2.834661604322762152e+00
9.914928504209470361e+00,5.473183318093527205e+00,2.536790572952699829e+00
9.919179856987236477e+00,5.583219538984550034e+00,2.198612891917250511e+00
9.911435453854309685e+00,5.712040126452261113e+00,2.415741023975894297e+00
9.894302793783470662e+00,5.837235196029240569e+00,2.484197087208789068e+00
9.865553110636950507e+00,5.966362563981839173e+00,2.271686381559740120e+00
9.827576151120522852e+00,6.082774023955495046e+00,2.052900571248870598e+00
9.778935399217607127e+00,6.219865597435604521e+00,1.589363149730538050e+00
9.683862510902928378e+00,6.376182712425036314e+00,1.874040010893895936e+00
9.567935834803046546e+00,6.507999048358098726e+00,1.983865984873218746e+00
9.423099677912558647e+00,6.626501941344881352e+00,1.646759581882229373e+00
9.247800306178843854e+00,6.714106698326123279e+00,1.416170815975192232e+00
