x_m,y_m,vx_mps
7.250020000000050313e-01,-5.249979999999982994e-01,6.000000000000000000e+00
6.250020000000049425e-01,-5.249979999999982994e-01,6.000000000000000000e+00
4.750020000000044762e-01,-5.249979999999982994e-01,6.000000000000000000e+00
3.750020000000043874e-01,-5.249979999999982994e-01,6.000000000000000000e+00
2.250020000000039766e-01,-5.249979999999982994e-01,6.000000000000000000e+00
1.250020000000038600e-01,-5.249979999999982994e-01,6.000000000000000000e+00
-2.499799999999657851e-02,-5.249979999999982994e-01,6.000000000000000000e+00
-1.249979999999966673e-01,-5.249979999999982994e-01,6.000000000000000000e+00
-2.749979999999970781e-01,-5.249979999999982994e-01,6.000000000000000000e+00
-3.749979999999971669e-01,-5.249979999999982994e-01,6.000000000000000000e+00
-5.249979999999976332e-01,-5.249979999999982994e-01,6.000000000000000000e+00
-6.249979999999977220e-01,-5.249979999999982994e-01,6.000000000000000000e+00
-7.749979999999980773e-01,-5.249979999999982994e-01,6.000000000000000000e+00
-8.749979999999981661e-01,-5.249979999999982994e-01,6.000000000000000000e+00
-1.024997999999998743e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-1.124997999999998832e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-1.274997999999999188e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-1.374997999999999276e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-1.524997999999999854e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-1.624997999999999942e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-1.774998000000000298e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-1.924998000000000875e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-2.024998000000000964e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-2.124998000000001053e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-2.274998000000001408e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-2.374998000000001497e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-2.524998000000001852e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-2.624998000000001941e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-2.724998000000002030e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-2.824998000000003451e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-2.974998000000002030e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-3.074998000000003451e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-3.174998000000003540e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-3.274998000000003628e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-3.374998000000003717e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-3.524998000000003628e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-3.624998000000004161e+00,-5.249979999999982994e-01,6.000000000000000000e+00
-3.774998000000004517e+00,-5.249979999999982994e-01,6.000000000000000000e+00
