x_m,y_m,vx_mps
-1.074271067962475001e+01,3.895266084545183638e-01,1.000000000000000000e+00
-1.062150730487719130e+01,3.783614291404646668e-01,1.000000000000000000e+00
-1.049645262819477765e+01,3.764863183530016699e-01,1.000000000000000000e+00
-1.034435350384431551e+01,3.800398556341411660e-01,1.000000000000000000e+00
-1.025000000000006750e+01,3.800000000000055556e-01,1.000000000000000000e+00
-1.010000000000006892e+01,3.800000000000055556e-01,1.000000000000000000e+00
-9.950000000000066791e+00,3.800000000000055556e-01,1.000000000000000000e+00
-9.850000000000065370e+00,3.800000000000055556e-01,1.000000000000000000e+00
-9.693412658153317096e+00,3.800542450189154930e-01,1.000000000000000000e+00
-9.603438786943497618e+00,3.841324289015105586e-01,1.000000000000000000e+00
-9.535872961533788938e+00,3.798923772098858898e-01,1.000000000000000000e+00
-9.453629046423362325e+00,3.697199932867653027e-01,1.000000000000000000e+00
-9.357145309740174000e+00,3.553247460223808996e-01,1.000000000000000000e+00
-9.246559183317407005e+00,3.399587567213880890e-01,1.000000000000000000e+00
-9.121507304877182420e+00,3.283614291404646224e-01,1.000000000000000000e+00
-8.995565883325213008e+00,3.264951657287236686e-01,1.000000000000000000e+00
-8.892942275338768354e+00,3.300622691935642394e-01,1.000000000000000000e+00
-8.800000000000057554e+00,3.300000000000054001e-01,1.000000000000000000e+00
-8.650000000000058975e+00,3.300000000000054001e-01,1.000000000000000000e+00
-8.550000000000055778e+00,3.300000000000054001e-01,1.000000000000000000e+00
-8.400000000000055422e+00,3.300000000000054001e-01,1.000000000000000000e+00
-8.300000000000054001e+00,3.300000000000054001e-01,1.000000000000000000e+00
-8.150000000000055422e+00,3.300000000000054001e-01,1.000000000000000000e+00
-8.000000000000053291e+00,3.300000000000054001e-01,1.000000000000000000e+00
-7.900000000000051870e+00,3.300000000000054001e-01,1.000000000000000000e+00
-7.792942275338760716e+00,3.300622691935642394e-01,1.000000000000000000e+00
-7.695565883325204304e+00,3.335539892581354526e-01,1.000000000000000000e+00
-7.621507304877170874e+00,3.327958182807361220e-01,1.000000000000000000e+00
-7.546559183317393504e+00,3.254791187123384777e-01,1.000000000000000000e+00
-7.457145309740161210e+00,3.128813071083536568e-01,1.000000000000000000e+00
-7.353629046423348470e+00,2.975027987166292687e-01,1.000000000000000000e+00
-7.235872961533771353e+00,2.833312912370348213e-01,1.000000000000000000e+00
-7.103438786943480743e+00,2.758971347838631849e-01,1.000000000000000000e+00
-6.991766450697158852e+00,2.800847481454692978e-01,1.000000000000000000e+00
-6.900000000000045652e+00,2.800000000000052447e-01,1.000000000000000000e+00
-6.800000000000044231e+00,2.800000000000052447e-01,1.000000000000000000e+00
-6.700000000000043698e+00,2.800000000000052447e-01,1.000000000000000000e+00
-6.600000000000043165e+00,2.800000000000052447e-01,1.000000000000000000e+00
-6.500000000000041744e+00,2.800000000000052447e-01,1.000000000000000000e+00
-6.400000000000041211e+00,2.800000000000052447e-01,1.000000000000000000e+00
-6.250000000000040856e+00,2.800000000000052447e-01,1.000000000000000000e+00
-6.142942275338748814e+00,2.800622691935640840e-01,1.000000000000000000e+00
-6.045565883325193290e+00,2.835539892581353527e-01,1.000000000000000000e+00
-5.971507304877161637e+00,2.827958182807360221e-01,1.000000000000000000e+00
-5.896559183317384267e+00,2.754791187123381557e-01,1.000000000000000000e+00
-5.807145309740151085e+00,2.628813071083532238e-01,1.000000000000000000e+00
-5.703629046423338345e+00,2.475027987166286136e-01,1.000000000000000000e+00
-5.585872961533761227e+00,2.333312912370339998e-01,1.000000000000000000e+00
-5.453438786943468841e+00,2.258971347838620858e-01,1.000000000000000000e+00
-5.341766450697146951e+00,2.300847481454681431e-01,1.000000000000000000e+00
-5.250000000000033751e+00,2.300000000000040901e-01,1.000000000000000000e+00
-5.100000000000033396e+00,2.300000000000040901e-01,1.000000000000000000e+00
-5.000000000000031974e+00,2.300000000000040901e-01,1.000000000000000000e+00
-4.900000000000031442e+00,2.300000000000040901e-01,1.000000000000000000e+00
